GTFS_source,stop_id,stop_lat,stop_lon,stop_desc,stop_name,stop_code
fr-ne-OMZ,20054,+49.084679,+06.154756,,MONTIGNY ST-PRIVAT,503
fr-ne-OMZ,20053,+49.086516,+06.156709,,VOLONTAIRES,504
fr-ne-OMZ,20051,+49.088249,+06.159647,,MARGUERITE,547
fr-ne-OMZ,20049,+49.087429,+06.164300,,VACONS,548
fr-ne-OMZ,20047,+49.090385,+06.166508,,COLSON,103
fr-ne-OMZ,20045,+49.091747,+06.167272,,JERUSALEM,532
fr-ne-OMZ,20043,+49.093463,+06.168015,,LYAUTEY,104
fr-ne-OMZ,20212,+49.092954,+06.172783,,LA HORGNE,511
fr-ne-OMZ,20210,+49.094442,+06.176213,,4 VENTS,362
fr-ne-OMZ,20206,+49.097251,+06.174771,,LAVOIR,137
fr-ne-OMZ,20204,+49.099052,+06.173756,,EGLISE,138
fr-ne-OMZ,21600,+49.100238,+06.175488,,ST-LIVIER,139
fr-ne-OMZ,20199,+49.103217,+06.174654,,BOILVIN,140
fr-ne-OMZ,20197,+49.106035,+06.173556,,ARENES,141
fr-ne-OMZ,20027,+49.107684,+06.171856,,LAFAYETTE,112
fr-ne-OMZ,20015,+49.110319,+06.175636,,GARE,113
fr-ne-OMZ,21586,+49.110870,+06.171084,,ROI GEORGE,695
fr-ne-OMZ,20008,+49.114789,+06.173284,,REPUBLIQUE,173
fr-ne-OMZ,20107,+49.118268,+06.176644,,ST-JACQUES,144
fr-ne-OMZ,20020,+49.119538,+06.175495,,PLACE D'ARMES,145
fr-ne-OMZ,20669,+49.121497,+06.175702,,PREFECTURE,438
fr-ne-OMZ,20195,+49.122428,+06.178030,,ST-GEORGES,439
fr-ne-OMZ,20193,+49.124420,+06.182156,,RIMPORT,440
fr-ne-OMZ,20189,+49.127513,+06.174827,,PONTIFFROY,149
fr-ne-OMZ,21270,+49.129069,+06.170938,,P+R ROCHAMBEAU,150
fr-ne-OMZ,21069,+49.132994,+06.167780,,GEORGES BERNANOS,192
fr-ne-OMZ,21271,+49.133262,+06.164217,,DALES,997
fr-ne-OMZ,20175,+49.135189,+06.160736,,PATROTTE,154
fr-ne-OMZ,20173,+49.135095,+06.156790,,PAQUET,155
fr-ne-OMZ,20171,+49.136468,+06.156072,,DAGA,156
fr-ne-OMZ,20164,+49.139406,+06.153482,,QUATRE BORNES,157
fr-ne-OMZ,20162,+49.141094,+06.150243,,MORLOT,158
fr-ne-OMZ,20835,+49.141575,+06.148088,,COUPILLON,630
fr-ne-OMZ,20837,+49.145042,+06.147958,,RUCHER,631
fr-ne-OMZ,21598,+49.147354,+06.148508,,ROSE MARCUS,654
fr-ne-OMZ,20839,+49.147658,+06.152498,,SAULES,632
fr-ne-OMZ,20831,+49.151293,+06.150132,,WOIPPY-HOTEL DE VILLE,633
fr-ne-OMZ,20843,+49.152574,+06.145724,,WOIPPY CHATEAU,634
fr-ne-OMZ,20068,+49.156250,+06.140045,,LE PATIS,635
fr-ne-OMZ,20842,+49.152891,+06.144917,,WOIPPY CHATEAU,636
fr-ne-OMZ,20830,+49.151263,+06.149991,,WOIPPY-HOTEL DE VILLE,637
fr-ne-OMZ,20838,+49.147614,+06.152408,,SAULES,638
fr-ne-OMZ,21597,+49.147523,+06.148621,,ROSE MARCUS,655
fr-ne-OMZ,20836,+49.144807,+06.147837,,RUCHER,639
fr-ne-OMZ,20834,+49.141369,+06.148121,,COUPILLON,159
fr-ne-OMZ,20161,+49.141066,+06.150739,,MORLOT,160
fr-ne-OMZ,20163,+49.139201,+06.153432,,QUATRE BORNES,161
fr-ne-OMZ,20075,+49.136612,+06.155832,,DAGA,162
fr-ne-OMZ,20172,+49.135036,+06.156721,,PAQUET,163
fr-ne-OMZ,20174,+49.134585,+06.161236,,PATROTTE,164
fr-ne-OMZ,20181,+49.132861,+06.165017,,DALES,559
fr-ne-OMZ,21067,+49.132944,+06.167915,,GEORGES BERNANOS,166
fr-ne-OMZ,21269,+49.128726,+06.170968,,P+R ROCHAMBEAU,168
fr-ne-OMZ,20188,+49.127256,+06.176198,,PONTIFFROY,169
fr-ne-OMZ,20192,+49.124126,+06.181019,,RIMPORT,170
fr-ne-OMZ,20194,+49.122724,+06.178301,,ST-GEORGES,171
fr-ne-OMZ,20019,+49.119991,+06.175829,,PLACE D'ARMES,172
fr-ne-OMZ,20002,+49.115523,+06.173431,,REPUBLIQUE,123
fr-ne-OMZ,21585,+49.110816,+06.171037,,ROI GEORGE,694
fr-ne-OMZ,20016,+49.110119,+06.175749,,GARE,90
fr-ne-OMZ,20026,+49.107696,+06.172284,,LAFAYETTE,91
fr-ne-OMZ,20196,+49.105895,+06.173556,,ARENES,126
fr-ne-OMZ,20198,+49.103435,+06.174783,,BOILVIN,127
fr-ne-OMZ,20200,+49.101246,+06.174749,,ST-LIVIER,128
fr-ne-OMZ,20203,+49.098460,+06.172271,,EGLISE,236
fr-ne-OMZ,20205,+49.097018,+06.174891,,LAVOIR,243
fr-ne-OMZ,20209,+49.094444,+06.176016,,4 VENTS,310
fr-ne-OMZ,20211,+49.093299,+06.172565,,LA HORGNE,134
fr-ne-OMZ,21582,+49.093998,+06.168257,,LYAUTEY,656
fr-ne-OMZ,20044,+49.091913,+06.167229,,JERUSALEM,531
fr-ne-OMZ,20046,+49.089859,+06.166111,,COLSON,100
fr-ne-OMZ,20048,+49.087508,+06.164527,,VACONS,539
fr-ne-OMZ,20050,+49.088519,+06.159345,,MARGUERITE,540
fr-ne-OMZ,20052,+49.086598,+06.156631,,VOLONTAIRES,533
fr-ne-OMZ,21403,+49.153319,+06.139988,,JEAN LAURAIN,647
