ID,Licence,Source link,Description,Download
fr-se-OM2,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Transport in La Ciotat and Ceyreste,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/392298afa5d73d6cd0cc4992fb5614a4
fr-se-OAC,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Communauté du Pays d'Aix,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/f62cfbbe19a51487bf4d6ce8e3972ad3
fr-se-OVO,ODbL,https://www.itinisere.fr/fr/donnees-open-data/169/OpenData/Index,Transports of Voironnais contry,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/b2095dc978e89a6da4f7d80631f43b13
fr-se-OOC,NC,NC,NC,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/a355b02c75766b386e01b1fe4b0fc5c8
fr-se-SIN,SNCF,https://ressources.data.sncf.com/explore/,National Train (SNCF),https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/78e770996a411e1262d855b6d66609e9
fr-se-OAE,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,"Pays d’Aubagne et de l’Étoile, bus de l'agglo",https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/c03c73c61b8acd6110df178f822c1148
fr-se-OIA,ODbL,https://www.itinisere.fr/fr/donnees-open-data/169/OpenData/Index,Transport of Bourgoin Jallieu,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/a768f19c4e8fa1380236edfa840a1fc5
fr-se-DGL,Licence engagée,https://data.grandlyon.com/,Transport of Lyon,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/ec88e19864eb78cf79f7808ab9bcb50b
fr-se-OM4,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,"Marseille suburbs : Carry-le-Rouet, Chateauneuf-les-Martigues, Sausset-les-Pins, Ensues-la-Redonne, Le Rove",https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/39bebcbe91889405b90af6be95bd3e6e
fr-se-ORX,Licence engagée,https://data.grandlyon.com,Service Rhônexpress,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/e82608a804753633d8314ac390469611
fr-se-OLE,LO/OL,http://opendata.regionpaca.fr/donnees/detail/lignes-expresses-regionales-et-chemins-de-fer-de-provence-horaires-points-darret-et-lignes.html,Regional Coaches Transport of Provence-Alpes-Côte d'Azur,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/3b9aab1da4a9af55e5108f37bc27c5f2
fr-se-OM3,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Boat between Marseille and if island,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/ec62780b34157c070a9abc253e29bc97
fr-se-OGE,ODbL,https://www.itinisere.fr/fr/donnees-open-data/169/OpenData/Index,Crolles - Grésivaudan Transports,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/91ef0b277bdf11a85f13a75820dad0a2
fr-se-O38,ODbL,https://www.itinisere.fr/fr/donnees-open-data/169/OpenData/Index,Departement Transport in Isère,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/ce870e9252b3783f2e5733228314fe07
fr-se-OET,LO/OL,https://www.lepilote.com/fr/open-data/83,Local transports of the Etang de Berre,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/dc123c06552c7100aba352f668d49d89
fr-se-OM5,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,"Marseille suburbs : Cassis, Carnoux-en-Provence, Roquefort-la-Bédoule",https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/73537ba001f006de298582a58efedb5b
fr-se-OM7,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,"Marseille suburbs : Allauch, Plan-de-Cuques",https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/8abea48776510e1785cccbe5e5b3b26e
fr-se-OZU,LO,http://opendata.nicecotedazur.org/data/dataset/export-quotidien-au-format-gtfs-du-reseau-de-transport-lignes-d-azur#,Transport of Nice City,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/6c3ac24a9ea1d73a6d47f0fd86902553
fr-se-OM6,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,transport in Gémenos,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/8615a41d47e710129f0a0f8e0a8a4dde
fr-se-OSX,NC,NC,NC,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/2699fab4e114491efbf427d521c1ea82
fr-se-OMA,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Local transports of West Provence and Etang de Berre,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/49befeda8101414b6b1b8906b84a28fb
fr-se-OGR,ODbL,https://www.itinisere.fr/fr/donnees-open-data/169/OpenData/Index,Transport of Grenoble city,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/76e522daa1a4b99ca9f9d87f5ddc2253
fr-se-OAB,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Transport of Aix en Provence,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/5d209569bf8c567ff9fc53d3de6c1cbe
fr-se-STE,SNCF,https://ressources.data.sncf.com/,Regional transport (SNCF),https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/1be0d921cee49ce8f73d9baadb2d1bb0
fr-se-OMP,ODbL,http://data.montpellier3m.fr/dataset/offre-de-transport-tam-en-gtfs,Local transports of Montpellier,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/a23074d293f5eaa19b3c641d08650fcf
fr-se-ONL,NC,NC,NC,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/5bc3a6274bd5a18a4b420ca4e831c8e9
fr-se-OM1,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Transport of Marseille (RTM),https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/b4f882eb4d9d3e31a0ed187bdf5ab859
fr-se-OIV,ODbL,https://www.itinisere.fr/fr/donnees-open-data/169/OpenData/Index,Transport in Vienne Country,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/8da5470453fe4f4c520f7a4f417e1358
fr-se-OM9,LO/OL,https://www.lepilote.com/fr/open-data/83,Local transports of Aix-Marseille,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/bd76a19cbc02b873255ddeb9f4d2c813
fr-se-OM8,LO/OL,https://www.lepilote.com/fr/open-data/83,Arles et ses environs,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/88ca677ffa111ec9d5c67c542d86fc1d
fr-sw-OGP,ODbL,https://data.grandpoitiers.fr/explore/dataset/mobilite-arret-services-theoriques-bus-hiver/,Transport of Grand Poitiers,https://navitia.opendatasoft.com/api/datasets/1.0/fr-sw/images/24012e669caedf279371a250b284bf9b
fr-sw-AEC,ODbL,https://data.haute-garonne.fr/explore/?sort=modified,Regional Transport of Haute-Garonne,https://navitia.opendatasoft.com/api/datasets/1.0/fr-sw/images/c37bd8577713b1080f6d5c7bb1eb6e43
fr-sw-OTL,ODbL,http://data.toulouse-metropole.fr,Transport of Toulouse,https://navitia.opendatasoft.com/api/datasets/1.0/fr-sw/images/748662cdf75e8d63a61cd268e5dc484c
